Referenz-BLEU;Phenom-BLEU;Delta;English Original;Input Phonemic Variant;Validation Reference;Reference Model Output;Phoneme Model Output;Phenom Manualy Translated into Standard German
0,0724975;0,0724975;0,000000;Obama receives Netanyahu;əʊbˈɑːmə ɹɪsˈiːvz nˌɛtɐnɪˈɑːhuː;Obama empfängt Netanyahu;Obama erhält Netanjahu;ˈoːbamˌɑː ɛɾhˈɛlt nˈeːtanjˌɑːuː;Obama erhält Netanjahu
0,216399672;0,216399672;0,000000;the relationship between Obama and Netanyahu is not exactly friendly .;ðə ɹɪlˈeɪʃənʃˌɪp bɪtwˌiːn əʊbˈɑːmə and nˌɛtɐnɪˈɑːhuː ɪz nˌɒt ɛɡzˈaktli fɹˈɛndli;das Verhältnis zwischen Obama und Netanyahu ist nicht gerade freundschaftlich;die Beziehung zwischen Obama und Netanjahu ist nicht gerade freundlich;diː bətsˈiːʊŋ tsvˈɪʃən ˈoːbamˌɑː ʊnt nˈeːtanjˌɑːuː ɪst nˈɪçt ɡərˈɑːdə frˈɔøntlɪç;die Beziehung zwischen Obama und Netanjahu ist nicht gerade freundlich 
0,339487685;0,303607839;0,035880;"the two wanted to talk about the implementation of the international agreement and about Teheran &apos;s destabilising activities in the Middle East .";ðə tˈuː wˈɒntɪd tə tˈɔːk ɐbˌaʊt ðɪ ˌɪmplɪməntˈeɪʃən ɒvðɪ ˌɪntənˈaʃənəl ɐɡɹˈiːmənt and ɐbˌaʊt tˈɛhəɹən and ɐpˈəʊz ˈɛs diːstˈeɪbəlˌaɪzɪŋ aktˈɪvɪtiz ɪnðə mˈɪdəl ˈiːst;die beiden wollten über die Umsetzung der internationalen Vereinbarung sowie über Teherans destabilisierende Maßnahmen im Nahen Osten sprechen;beide wollten über die Umsetzung des internationalen Abkommens und über Teherans destabilisierende Aktivitäten im Nahen Osten sprechen;bˈaɪdə vɔltən ˌyːbɜ diː ˈʊmzˌɛtsʊŋ dɛs ˌɪntɜnatsjˌoːnˈɑːlən ˈapkˌɔməns ʊnt ˌyːbɜ diː dˌɛstabˌiːliːzˈiːrəndən ˌaktiːviːtˈɛːtən tˌeːeːrˈɑːns ɪm nˈɑːən ˈɔstən ʃpɾˈɛçən;beide wollten über die Umsetzung des internationalen Abkommens und über die destabilisierende Aktivitäten Teherans im Nahen Osten sprechen 
0,339480564;0,329374164;0,010106;the meeting was also planned to cover the conflict with the Palestinians and the disputed two state solution .;ðə mˈiːtɪŋ wɒz ˈɔːlsəʊ plˈand tə kˈʌvə ðə kˈɒnflɪkt wɪððə pˌaləstˈɪniːənz and ðə dɪspjˈuːtɪd tˈuː stˈeɪt səlˈuːʃən;bei der Begegnung soll es aber auch um den Konflikt mit den Palästinensern und die diskutierte Zwei @-@ Staaten @-@ Lösung gehen;das Treffen sollte sich auch mit dem Konflikt mit den Palästinensern und der umstrittenen Zwei @-@ Staaten @-@ Lösung befassen;ɡəplˈant vɑːɾ ˌaʊx dɛɾ kɔnflˈɪkt mɪt deːn pˈɑlɛstˌiːnɛnzɜn ʊnt diː ˈʊmʃtɾˌɪtənə tsvˈaɪ ˈɛtˈɛt ʃtˈɑːtən ˈɛtˈɛt lˈøːzʊŋ;geplant war auch der Konflikt mit den Palästinensern und die umstrittene zwei @-@ Staaten @-@ Lösung
0,161796493;0,161796493;0,000000;relations between Obama and Netanyahu have been strained for years .;ɹɪlˈeɪʃənz bɪtwˌiːn əʊbˈɑːmə and nˌɛtɐnɪˈɑːhuː hɐvbɪn stɹˈeɪnd fɔː jˈiəz;das Verhältnis zwischen Obama und Netanyahu ist seit Jahren gespannt;die Beziehungen zwischen Obama und Netanjahu sind seit Jahren angespannt;diː bətsˈiːʊŋən tsvˈɪʃən ˈoːbamˌɑː ʊnt nˈeːtanjˌɑːuː zɪnt zaɪt jˈɑːrən ˈanɡəʃpˌant;die Beziehungen zwischen Obama und Netanjahu sind seit Jahren angespannt 
0,108558111;0,108558111;0,000000;Washington criticises the continuous building of settlements in Israel and accuses Netanyahu of a lack of initiative in the peace process .;wˈɒʃɪŋtən kɹˈɪtɪsˌaɪzɪz ðə kəntˈɪnjuːəs bˈɪldɪŋ ɒv sˈɛtəlmənts ɪn ˈɪsɹeɪl and ɐkjˈuːzɪz nˌɛtɐnɪˈɑːhuː əvə lˈak ɒv ɪnˈɪʃiətˌɪv ɪnðə pˈiːs pɹˈəʊsɛs;Washington kritisiert den andauernden Siedlungsbau Israels und wirft Netanyahu mangelnden Willen beim Friedensprozess vor;Washington kritisiert den kontinuierlichen Bau von Siedlungen in Israel und wirft Netanjahu mangelnde Initiative im Friedensprozess vor;vˈashɪŋtˌoːn kɾˌiːtiːzˈiːɾt deːn kɔntˌiːnuːˈiːɾlɪçən bˈaʊ fɔn zˈiːdlʊŋən ɪn ˈɪsrɑːˌɛl ʊnt vˈɪɾft nˈeːtanjˌɑːuː mˈaŋəlndə ˌiːniːtˌiːatˈiːvə ɪm frˈiːdənʃpɾˌoːtsɛs fˈɔɾ;Washington kritisiert den kontinuierlichen Bau von Siedlungen in Israel und wirft Netanjahu mangelnde Initiative im Friedensprozess vor 
0,114866281;0,114866281;0,000000;"the relationship between the two has further deteriorated because of the deal that Obama negotiated on Iran &apos;s atomic programme , .";ðə ɹɪlˈeɪʃənʃˌɪp bɪtwˌiːn ðə tˈuː hɐz fˈɜːðə dɪtˈiəɹiəɹˌeɪtɪd bɪkˈɒz ɒvðə dˈiːl ðat əʊbˈɑːmə nɪɡˈəʊʃɪˌeɪtɪd ˌɒn ɪɹˈan and ɐpˈəʊz ˈɛs ɐtˈɒmɪk pɹˈəʊɡɹam;durch den von Obama beworbenen Deal um das iranische Atomprogramm hat sich die Beziehung der beiden weiter verschlechtert;die Beziehung zwischen beiden hat sich aufgrund des Abkommens das Obama über das iranische Atomprogramm ausgehandelt hat weiter verschlechtert;diː bətsˈiːʊŋ tsvˈɪʃən bˈaɪdən hat zɪç ˈaʊfɡɾˌʊnt dɛs ˈapkˌɔməns das ˈoːbamˌɑː ˌyːbɜ das iːrˈɑnɪʃə atˌoːmpɾɔɡɾˈam ˈaʊsɡəhˌandəlt hat vˈaɪtɜ fɛɾʃlˈɛçtɜt;die Beziehung zwischen beiden hat sich aufgrund des Abkommens das Obama über das iranische Atomprogramm ausgehandelt hat weiter verschlechtert
0,3733234;0,241675289;0,131648;in March , at the invitation of the Republicans , Netanyahu made a controversial speech to the US Congress , which was partly seen as an affront to Obama .;ɪn mˈɑːtʃ at ðɪ ɪnvɪtˈeɪʃən ɒvðə ɹɪpˈʌblɪkənz nˌɛtɐnɪˈɑːhuː mˌeɪd ɐ kˌɒntɹəvˈɜːʃəl spˈiːtʃ tə ðə jˌuːˈɛs kˈɒŋɡɹɛs wˌɪtʃ wɒz pˈɑːtli sˈiːn az ɐn ɐfɹˈʌnt tʊ əʊbˈɑːmə;im März hatte Netanyahu auf Einladung der Republikaner vor dem US @-@ Kongress eine umstrittene Rede gehalten die teils als Affront gegen Obama gewertet wurde;im März hielt Netanjahu auf Einladung der Republikaner eine kontroverse Rede vor dem US @-@ Kongress die teilweise als Affront gegen Obama angesehen wurde;ɪm mˈɛɾts hˈiːlt nˈeːtanjˌɑːuː aʊf ˈaɪnlˌɑdʊŋ dɛɾ rˌeːpuːbliːkˈɑːnɜ ˌaɪnə kɔntɾˈoːvɜzə rˈeːdə fˌɔɾ deːm ˌuːˈɛs ˈɛtˈɛt kɔŋɡɾˈɛs diː tˈaɪlvaɪzə als ˈafrɔnt ɡˌeːɡən ˈoːbamˌɑː ˈanɡəzˌeːən vˌ??də;im März hielt Netanjahu auf Einladung der Republikaner eine kontroverse Rede vor dem U @-@ S @-@ Kongress die teilweise als Affront gegen Obama angesehen w??de
0,10044271;0,102909549;-0,002467;the speech had not been agreed with Obama , who had rejected a meeting with reference to the election that was at that time impending in Israel .;ðə spˈiːtʃ had nˌɒt bˌiːn ɐɡɹˈiːd wɪð əʊbˈɑːmə hˌuː had ɹɪdʒˈɛktɪd ɐ mˈiːtɪŋ wɪð ɹˈɛfɹəns tə ðɪ ɪlˈɛkʃən ðat wɒz at ðat tˈaɪm ɪmpˈɛndɪŋ ɪn ˈɪsɹeɪl;die Rede war mit Obama nicht abgesprochen ein Treffen hatte dieser mit Hinweis auf die seinerzeit bevorstehende Wahl in Israel abgelehnt;die Rede war nicht mit Obama abgestimmt worden der ein Treffen mit Bezug auf die Wahl die zu jener Zeit in Israel bevorstand abgelehnt hatte;diː rˈeːdə vɑːɾ nˈɪçt mɪt ˈoːbamˌɑː fɛɾˈaɪnbˌaɾt dɛɾ aɪn tɾˈɛfən mɪt bətsˈuːk aʊf diː vˈɑːlən diː tsuː jˈeːnɜ tsˈaɪt ɪn ˈɪsrɑːˌɛl vɑːɾ ˈapɡəlˌeːnt hˌatə;die Rede war nicht mit Obama vereinbart der ein Treffen mit Bezug auf die Wahlen die zu jener Zeit in Israel war abgelehnt hatte
0,028424915;0,032564765;-0,004140;in 911 Call , Professor Admits to Shooting Girlfriend;ɪn nˈaɪnhˈʌndɹɪdən ɪlˈɛvən kˈɔːl pɹəfˈɛsəɹ ɐdmˈɪts tə ʃˈuːtɪŋ ɡˈɜːlfɹɛnd;in einem Notruf gesteht Professor seine Freundin erschossen zu haben;im Aufruf von 911 : Professor gibt zu Girlfriend zu erschossen;ɪn nˈɔønhˈʊndɜt ˈɛlf kˈal pɾoːfˈɛsoːɾ ɡˈiːpt tsˈuː tsuː ʃˈiːsən frˈɔøndɪn;in 911 call Professor gibt zu zu schießen Freundin
0,080199229;0,098223595;-0,018024;in a 911 call , his voice only slightly shaky , college professor Shannon Lamb told police he had shot his girlfriend and officers needed to get over to their house .;ɪn ɐ nˈaɪnhˈʌndɹɪdən ɪlˈɛvən kˈɔːl hɪz vˈɔɪs ˈəʊnli slˈaɪtli ʃˈeɪki kˈɒlɪdʒ pɹəfˈɛsə ʃˈanən lˈam tˈəʊld pəlˈiːs hiː had ʃˈɒt hɪz ɡˈɜːlfɹɛnd and ˈɒfɪsəz nˈiːdɪd tə ɡɛt ˌəʊvə tə ðeə hˈaʊs;in einem Notruf erzählte Professor Shannon Lamb mit einer etwas zittrigen Stimme der Polizei dass er seine Freundin erschossen habe und dass die Beamten zu seinem Haus kommen müssten;in einem 911 Anruf seine Stimme nur leicht wackelig College @-@ Professor Shannon Lamb erzählte der Polizei er habe seine Freundin und Offiziere benötigt um in ihr Haus zu bekommen;ɪn ˌaɪnəm nˈɔønhˈʊndɜt ˈɛlf rˈuːfən zˌaɪnə ʃtˈɪmə nˈuːɾ ˈɛtvɑːs vˈakəlˌɪç kɔlˈeːɡə pɾoːfˈɛsoːɾ ʃˈanoːn lˈamp zˈɑːɡtə dɛɾ pˌoːliːtsˈaɪ ɛɾ hˌatə zˌaɪnə frˈɔøndɪn ɛɾʃˈɔsən ʊnt bəˈamtə bənˈøːtɪçt ʊm tsuː ˌiːrəm hˈaʊs tsuː ɡəlˈaŋən;in einem 911 rufen seine Stimme nur etwas wackelig College Professor Shannon Lamb sagte der Polizei er hate seine Freundin erschossen und Beamte benötigt um zu ihrem haus zu gelangen
0,190819392;0,080141043;0,110678;"lamb made a point to say his &quot; sweet dog &quot; was there alive and probably upset , and said the dead woman &apos;s family contacts could be found on her phone .";lˈam mˌeɪd ɐ pˈɔɪnt tə sˈeɪ hɪz and kwˈɒt swˈiːt dˈɒɡ and kwˈɒt wɒz ðeəɹ ɐlˈaɪv and pɹˈɒbəbli ʌpsˈɛt and sˈɛd ðə dˈɛd wˈʊmən and ɐpˈəʊz ˈɛs fˈamɪli kˈɒntakts kʊd biː fˈaʊnd ˌɒn hɜː fˈəʊn;"Lamb war es wichtig zu betonen dass sein &quot; süßer Hund &quot; aber noch lebe und wahrscheinlich aufgeregt sei und er sagte die Familienkontakte der toten Frau könnten auf dem Handy gefunden werden";"Lamm machte einen Punkt zu sagen sein &quot; süßer Hund &quot; war dort lebendig und wahrscheinlich verärgert und sagte die Familie der toten Frau Kontakte konnten auf ihrem Telefon gefunden werden";lˈamp mˈaxtə ˌaɪnən pˈʊŋkt tsuː zˈɑːɡən zaɪn ˈʊnt kvˈoːt zˈyːsən hˈʊnt ˈʊnt kvˈoːt vɑːɾ dˈɔɾt leːbˈɛndɪç ʊnt vɑːɾʃˈaɪnlɪç fɛɾˈɛɾɡɜt ʊnt zˈɑːɡtə diː famˈiːlɪə dɛɾ tˈoːtən frˈaʊ kɔntˈaktə ɡəfˈʊndən vˌɛɾdən aʊf ˌiːrəm tˌeːleːfˈoːn;"Lamb machte einen Punkt zu sagen sein &quot; süßen Hund &quot; war dort lebendig und wahrscheinlich verärgert und sagte die Familie der toten Frau Kontakte gefunden werden auf ihrem Telefon "
0,377615215;0,262173591;0,115442;"inside the home , officers found Amy Prentiss &apos; body and a hand @-@ written note scribbled on a white legal pad : &quot; I am so very sorry I wish I could take it back I loved Amy and she is the only woman who ever loved me , &quot; read the letter authorities say was signed by Lamb .";ɪnsˈaɪd ðə hˈəʊm ˈɒfɪsəz fˈaʊnd ˈeɪmi pɹˈɛntɪs and ɐpˈəʊz bˈɒdi and ɐ hˈand ˈatat ɹˈɪtən nˈəʊt skɹˈɪbəld ˌɒn ɐ wˈaɪt lˈiːɡəl pˈad and kwˈɒt aɪɐm sˌəʊ vˈɛɹi sˈɒɹi aɪ wˈɪʃ aɪ kʊd tˈeɪk ɪt bˈak aɪ lˈʌvd ˈeɪmi and ʃiː ɪz ðɪ ˈəʊnli wˈʊmən hˌuː ˈɛvə lˈʌvd mˌiː and kwˈɒt ɹˈiːd ðə lˈɛtəɹ ɐθˈɒɹɪtiz sˈeɪ wɒz sˈaɪnd baɪ lˈam;"innerhalb des Hauses fanden die Beamten die Leiche von Amy Prentiss und eine handgeschriebene Notiz die auf einen weißen Block gekritzelt war : &quot; mir tut es so leid ich wollte ich könnte es rückgängig machen ich liebte Amy und sie ist die einzige Frau die mich jemals liebte &quot; dies stand nach Angaben der Behörden in dem Brief und er war von Lamb unterzeichnet";"im Inneren des Hauses fanden Offiziere den Körper von Amy Prentiss und eine handgeschriebene Notiz die auf einem weißen Blatt geschrieben wurde : &quot; es tut mir sehr leid ich wünschte ich könnte es zurücknehmen ich liebte Amy und sie ist die einzige Frau die mich je geliebt hat &quot; lesen Sie den Brief Behörden sagen war von Lamb unterzeichnet";ɪm ˈɪnərən fˈandən diː ˌɔfiːtsˈiːrə ˈɑmiː pɾˈɛntiːkə ˈʊnt ˈɑpoːs kˈœɾpɜ ʊnt ˌaɪnə hˈantɡəʃrˌiːbənə nˈoːtiːts aʊf ˌaɪnəm vˈaɪsən rˈɛçtstɛkst ˈʊnt kvˈoːt ɛs tˈuːt miːɾ zˈeːɾ lˈaɪt ɪç vˈynʃtə ɪç kˈœntə ɛs tsuːrˈyknˌeːmən ɪç lˈiːptə ˈɑmiː ʊnt ziː ɪst diː ˈaɪntsɪɡə frˈaʊ diː mɪç jeː ɡəlˈiːpt ˈʊnt kvˈoːt lˈeːzən ziː deːn bɾˈiːf bəhˈœɾdən zˈɑːɡən vˌ??də fɔn lˈam ˌʊntɜtsˈaɪçnət;"im Inneren fanden die Offiziere Amy Prentike und Anys Körper und eine handgeschriebene Notiz auf einem weißen Rechtsteckst &quot; es tut mir sehr leid ich wünschte ich könnte es zurücknehmen ich liebte Amy und sie ist die einzige Frau die mich je geliebt &quot; lesen Sie den Brief Behörden sagen , w??de von Lamb unterzeichnet"
0,517748468;0,468312702;0,049436;"there was no indication that Lamb , who was teaching two online classes for Delta State University in Cleveland , Mississippi , had already traveled 300 miles to the school &apos;s campus , where police believe he shot and killed a well @-@ liked history professor , Ethan Schmidt , in the doorway to his office .";ðeəwˌɒz nˈəʊ ˌɪndɪkˈeɪʃən ðat lˈam hˌuː wɒz tˈiːtʃɪŋ tˈuː ˈɒnlaɪn klˈasɪz fɔː dˈɛltə stˈeɪt jˌuːnɪvˈɜːsɪti ɪn klˈiːvlənd mˌɪsɪsˈɪpi had ɔːlɹˌɛdi tɹˈavəld θɹˈiːhˈʌndɹɪd mˈaɪlz tə ðə skˈuːl and ɐpˈəʊz ˈɛs kˈampəs wˌeə pəlˈiːs bɪlˈiːv hiː ʃˈɒt and kˈɪld ɐ wˈɛl ˈatat lˈaɪkt hˈɪstəɹi pɹəfˈɛsə ˈiːθən ʃmˈɪt ɪnðə dˈɔːweɪ tə hɪz ˈɒfɪs;es gab keinen Hinweis darauf dass Lamb der in zwei Online @-@ Kursen für die Delta State University in Cleveland Mississippi unterrichtete bereits 300 Meilen zu dem Schulgelände gereist war wo er nach Angaben der Polizei einen beliebten Geschichtsprofessor Ethan Schmidt an der Tür zu seinem Büro erschossen und getötet hat;es gab keinen Hinweis darauf dass Lamb der zwei Online @-@ Kurse für die Delta State University in Cleveland Mississippi unterrichtete bereits 300 Meilen zum Campus der Schule gereist war wo die Polizei glaubt dass er einen beliebten Geschichtsprofessor Ethan Schmidt vor seiner Haustür erschossen und getötet hat;ɛs ɡˈɑːp kˈaɪnən hˈɪnvaɪs dɑːrˈaʊf das lˈamp dɛɾ tsvˈaɪ ˈɒnlaɪn ˈɛtˈɛt klˈasən fyːɾ diː dˈɛltɑː stˈeɪt jˌuːnɪvˈɜːsɪti ɪn klˈeːvəlˌant mˌɪsɪsˈɪpiː ˌʊntɜrˈɪçtətə bərˈaɪts dɾˈaɪhˈʊndɜt mˈaɪlən tsʊm kˈampʊs dɛɾ ʃˈuːlə rˈaɪstə vˌoː diː pˌoːliːtsˈaɪ ɡlˈaʊpt ɛɾ ɛɾʃˈɔs ʊnt tˈøːtətə ˌaɪnə zˈeːɾ bəlˈiːptə ɡəʃˈɪçtə pɾoːfˈɛsoːɾ eːtˈɑːn ʃmˈɪt ɪn dɛɾ tˈyːɾ tsuː zˌaɪnəm bˈyːroː;es gab keinen Hinweis darauf dass Lamb der zwei Online @-@ Klassen für die Delta State University in Cleveland Mississippi unterrichtete bereits 300 Meilen zum Campus der Schule reiste wo die Polizei glaubt er erschoss und tötete Any sehr beliebte Geschichte Professor Ethan Schmidt in der Tür zu seinem Büro
